,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,enem-matematica,enem-nota,enem-redacao,enen-nota
248,163,59072610,2014,1,TRANCADO,2015,1,3.4,0,Reprovado,1860,0,740,603
249,163,59072610,2014,1,TRANCADO,2016,1,4.7,0,Reprovado,1860,0,740,603
250,163,59072610,2014,1,TRANCADO,2016,2,4.6,0,Reprovado,1860,0,740,603
251,164,59050110,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,1908,0,800,637
252,164,59050110,2014,1,CANCELADO,2015,1,0.1,0,Reprovado,1908,0,800,637
253,164,59050110,2014,1,CANCELADO,2015,2,2.5,0,Reprovado,1908,0,800,637
254,164,59050110,2014,1,CANCELADO,2016,1,1.8,0,Reprovado,1908,0,800,637
255,165,59106114,2014,1,ATIVO,2014,2,0.2,0,Reprovado,2091,0,700,647
256,165,59106114,2014,1,ATIVO,2015,1,3.2,0,Reprovado,2091,0,700,647
257,165,59106114,2014,1,ATIVO,2015,2,5.6,0,Aprovado,2091,0,700,647
258,166,59114253,2014,1,ATIVO,2014,2,6.9,0,Aprovado,1826,0,760,637
259,167,59200000,2014,1,CANCELADO,2014,2,3.3,0,Reprovado,2015,0,580,622
260,168,59280000,2014,1,CANCELADO,2016,1,0.4,0,Reprovado,2226,0,520,651
261,168,59280000,2014,1,CANCELADO,2016,2,1.3,0,Reprovado,2226,0,520,651
262,169,59347000,2014,1,CANCELADO,2014,2,6.7,0,Aprovado,1729,0,700,603
263,0,59015430,2014,1,CANCELADO,2014,1,7.1,1,Aprovado,2172,0,640,618
264,1,59073120,2014,1,CANCELADO,2014,1,5.9,1,Aprovado,1955,0,660,615
265,2,59072580,2014,1,ATIVO,2014,1,5.3,1,Aprovado,1959,0,560,600
266,3,59088150,2014,1,ATIVO,2014,1,5.3,1,Aprovado,2235,0,760,673
267,4,59064245,2014,1,CANCELADO,2014,1,4.8,1,Reprovado,2132,0,700,642
268,4,59064245,2014,1,CANCELADO,2014,2,6.8,1,Aprovado,2132,0,700,642
269,5,59112430,2014,1,ATIVO,2014,1,6.5,1,Aprovado,1991,0,520,581
270,170,59151400,2014,1,CANCELADO,2014,1,3.3,1,Reprovado,2025,0,680,624
271,170,59151400,2014,1,CANCELADO,2015,1,7.4,1,Aprovado,2025,0,680,624
272,171,59056520,2014,1,CANCELADO,2014,1,8,1,Aprovado,2247,0,820,705
273,172,59078040,2014,1,FORMANDO,2014,1,8.8,1,Aprovado,2597,0,960,798
274,6,59152780,2014,1,CANCELADO,2014,1,7.1,1,Aprovado,2179,0,640,660
275,7,59020330,2014,1,ATIVO,2014,1,4.7,1,Reprovado,1923,0,720,647
276,7,59020330,2014,1,ATIVO,2015,2,7.4,1,Aprovado,1923,0,720,647
277,173,0,2014,1,CANCELADO,2014,1,0,1,Reprovado,0,0,0,
278,8,59151610,2014,1,ATIVO,2014,1,8.5,1,Aprovado,1812,0,800,621
279,174,59088500,2014,1,CANCELADO,2014,1,5,1,Aprovado,2185,0,620,677
280,9,59145510,2014,1,CANCELADO,2014,1,9,1,Aprovado,2002,0,700,663
281,175,59056100,2014,1,CANCELADO,2014,1,5.2,1,Aprovado,2260,0,540,652
282,10,59075260,2014,1,CANCELADO,2014,1,7.3,1,Aprovado,2268,0,760,698
283,11,59086620,2014,1,CANCELADO,2014,1,5.6,1,Aprovado,2036,0,720,621
284,12,59547000,2014,1,ATIVO,2014,1,5.4,1,Aprovado,2261,0,520,634
285,13,59082180,2014,1,CANCELADO,2014,1,7.9,1,Aprovado,1946,0,820,667
286,14,59150500,2014,1,ATIVO,2014,1,6.8,1,Aprovado,2070,0,680,630
287,16,59810000,2014,1,ATIVO,2014,1,6.5,1,Aprovado,2029,0,640,613
288,17,59115190,2014,1,TRANCADO,2014,1,5.2,1,Aprovado,2002,0,580,634
289,18,59050350,2014,1,CANCELADO,2014,1,8,1,Aprovado,2075,0,740,662
290,176,59151380,2014,1,CANCELADO,2014,1,7.4,1,Aprovado,1660,0,960,659
291,20,59090620,2014,1,ATIVO,2014,1,4.5,1,Reprovado,2079,0,640,616
292,20,59090620,2014,1,ATIVO,2015,1,2.5,1,Reprovado,2079,0,640,616
293,20,59090620,2014,1,ATIVO,2015,2,5.4,1,Aprovado,2079,0,640,616
294,21,59324000,2014,1,ATIVO,2014,1,8.3,1,Aprovado,2119,0,800,689
295,22,59054550,2014,1,CANCELADO,2014,1,6.5,1,Aprovado,2176,0,600,662
296,23,59070750,2014,2,ATIVO,2014,2,7.2,1,Aprovado,622,0,520,553
